RETAILER_CODEMR,RETAILER_NAME,ADDRESS1,ADDRESS2,CITY,REGION,COUNTRY_CODE,PHONE,FAX,SEGMENT_CODE
405,4 Golf only,250 St. Georges Terrace,10th Floor,Melbourne,WA,16,+(61) 03 9241 1033,+(61) 03 9244 3287,3
406,Black Stump Camping Supplies,140 North Coast Dr.,Level 19,Cairns,QLD,16,+(61) 03 7529 1431,+(61) 03 7588 2578,1
407,OutBack Pty,121 Elizabeth Ave.,"Suite 2, Level 9",Brisbane,WA,16,+(61) 07 7210 8653,+(61) 07 7267 1052,2
408,Harbour Pty Ltd.,4400 Kildairne Rd,3rd Floor,Perth,QLD,16,+(61) 09 9321 7890,+(61) 09 9234 4432,8
409,Jackos Enviro Shop,910 Winton Ave,# 3,St. Leonards,TAS,16,+(61) 02 9437 5566,+(61) 02 9347 6621,8
410,Southern Cross Pty.,496 Walter Way,# 15,Perth,TAS,16,+(61) 03 9011 4939,+(61) 03 9912 5915,10
411,Can't Beat The Bush Supplies,98 River Rd.,,Sydney,QLD,16,+(61) 02 9542 9437,+(61) 02 8192 9437,6
412,Blue Mountains Golfing Company,956 Steel St.,,Sydney,NSW,16,+(61) 02 9437 9824,+(61) 02 9437 1592,3
413,Watson's Golf Supplies,6520 Alexander Street,5th Floor,St. Kilda,VIC,16,+(61) 03 9111 3211,+(61) 03 9121 2989,3
414,Outdoor-Fachgeschäft Müller,Hofstraße 77,,Wien,,5,+(43) 11 67 44 00,+(43) 11 67 44 10,1
415,Ausrüstungshaus Globetrotter,Hüttenstraße 87,,Klosterneuburg,,5,+(43) 12 72 92 47,+(43) 12 72 92 56,5
416,Sporthaus Moser,Hauptstraße 96,,Wien,,5,+(43) 11 67 21 21,+(43) 11 67 22 22,5
417,Kaufhaus Freizeit,Webereistraße 6,,Ternitz,,5,+(43) 26 30 45 50,+(43) 26 30 45 59,4
418,Olympia Ausrüstung,Löffelgasse 34,,Klosterneuburg,,5,+(43) 13 61 88 77,+(43) 13 61 88 80,8
419,Sportartikel-Fundgrube,Hauptstraße 8,,Linz,,5,+(43) 73 23 87 70,+(43) 73 23 87 77,12
420,Der Golfshop,Mühlstraße 26,,Ischgl,,5,+(43) 54 41 01 02,+(43) 54 41 01 03,3
421,Öko-Versand,Bergweg 11,,Graz,,5,+(43) 31 62 11 11,+(43) 31 62 11 12,7
422,Freizeit-Lager,Plüddemanngasse 103,,Graz,,5,+(43) 31 64 72 50,+(43) 31 64 72 55,8
423,Sportladen 1-2-3,Kaiserhofstraße 65,,Klagenfurt,,5,+(43) 46 32 28 77,+(43) 46 32 28 78,12
424,Camping 2000,Blumenstraße 77,,Arnoldstein,,5,+(43) 42 55 60 80,+(43) 42 55 60 90,2
425,Golf's'us,Leuvensesteenweg 325,,Zaventem,,17,+32 2 722.18.11,+32 2 722.18.10,3
426,De Camping Specialist,Kunstlaan 46,,Brussel,,17,+32 2 504.59.11,+32 2 504.59.12,2
427,Het Sporthuis,Transcontinentaalweg 12,,Antwerpen,,17,+32 3 541.47.10,+32 2 541.47.11,11
428,Allo Allo,Avenue des 9 Provinces 3,B 109,Bruxelles,,17,+32 2 743.86.93,+32 2 743.87.11,7
429,Caravanserai,Boul. De La Sauvenière 12,,Liège,,17,+32 41 20.09.22,+32 41 20.09.23,2
430,Le Bazar,Drève Richelle 161,Waterloo Office Park,Waterloo,,17,+32 2 352.24.11,+32 2 352.24.83,5
431,Swing Back,Quai Des Charbonnages 76,,Bruxelles,,17,+32 2 410.20.42,+32 2 410.20.48,3
432,Pleine Forme,Rue De Genève 4,,Bruxelles,,17,+32 2 729.81.11,+32 2 729.81.81,12
433,Stock Express,Rue du Bosquet 2,,Louvain-La-Neuve,,17,+32 10 47.63.11,+32 10 47.65.75,8
434,Lojas do Esportista,"Av. Raja Gabalglia, 24",Conj. 12,Belo Horizonte,MG,21,+55 (31) 767-9980,+55 (31) 767-9902,12
435,Palácio do Camping,"Rua Dr. João Colin, 1299",Conj. 167,Florianópolis,SC,21,+55 (48) 998-1238,+55 (48) 998-2323,2
436,Paulista Esportes,"Avenida Paulista, 87",10 Andar,São Paulo,SP,21,+55 (11) 339-4230,+55 (11) 339-4599,3
437,Esportes Grumari,"Alameda Santos, 9876",6o. Andar,São Paulo,SP,21,+55 (11) 288-5032,+55 (11) 288-2345,5
438,Casa do Alpinista,"Rua Machado de Assis, 1987",2o. Andar,Porto Alegre,RS,21,+55 (51) 333-4587,+55 (51) 333-7777,11
439,Mega Shop do Esporte,"Av. Presidente Wilson, 9999",10 Andar,Rio de Janeiro,RJ,21,+55 (21) 332-5509,+55 (21) 332-9999,8
440,Esportópolis,"Rua Estados Unidos, 998",Térreo,São Paulo,SP,21,+55 (11) 878-2275,+55 (11) 878-2387,8
441,Rei do Camping,"Av. Rio Branco, 15",Sala 10,Rio de Janeiro,RJ,21,+55 (21) 223-5680,+55 (21) 223-3300,2
442,Morro Sports,"Rua Texeira de Freitas, 1248",6 Andar,Rio de Janeiro,RJ,21,+55 (21) 224-7999,+55 (21) 224-0986,12
454,"Hangzhou Superman Sports Goods Co., LTD.",59 Yang Fang Dian West,Hai Dian District,Beijing,,14,86-10-6252-8387,86-10-6252-8387,3
455,"Lan King Sports Co., LTD.",No.339 Huan Shi Dong Road,,Guangzhou,GuangDong,14,86-20-8331-3501,86-20-8331-3501,1
456,"China Multi-channel Sports Co., LTD.",No.318 Huan Cheng Bei Road,,Hangzhou,Zhejiang,14,86-571-525-2443,86-571-525-2443,7
457,Great Dragon Group,No.88 Zhong Shan Road,,Harbin,Helong,14,86-451-277-6197,86-451-277-6196,10
458,W&S Gloria Sport Center,No.41-1 Qian Fu Shan Dong Road,,Jinan,Shangdong,14,86-531-296-3478,,6
459,"Shaoxing NARI Co., LTD.",58 Xinhua Street,,Nuhhot,Inner Mongolia,14,86-471-686-3860,86-471-686-3860,3
460,"Inner Mongolia Xin Zhong Co., LTD",No. 245 Chang Zhong Road,,Shanghai,,14,86-21-6536-4442,,5
461,"Rainbow Service Co., LTD.","223 Xikang Riad, Jing An District",,Shanghai,,14,86-21-6247-4068,86-21-6247-4068,8
462,ORDER Group,No.99 ZhongShan Road,,Shanghai,,14,86-21-7756-7973,86-21-7756-7973,2
463,COMLINRK International Enterprises LTD.,No.300 Tian Lin Road,,Shaoxing,Zhejiang,14,86-575-513-6176,86-575-513-6176,2
464,"Kingdee Co., LTD.",No1. Wu Di Cheng Street,,Tongluowan,Hong Kong,14,852-2506-6074,852-2506-6074,8
465,Preben's Tøy,Århusgade 55,,Kolding,,18,+45 76 57 66 10,+45 76 57 89 41,2
466,Classens,St. Kongens Vej,,København,,18,+45 70 23 45 00,+45 70 23 45 01,4
467,Golf Butikken,Åbyhøjvej 15,,Åbyhøj,,18,+45 87 44 56 34,+45 87 44 56 35,3
468,København Brillecenter,Industriparken 44,,Herning,,18,+45 87 89 65 00,+45 87 89 65 10,10
469,Aarhus Sport,Vejlevej 100,,Ballerup,,18,+45 44 51 67 14,+45 44 51 97 46,12
470,Vi Lejer Ud A/S,Lautruppark 76,,Aarhus,,18,+45 88 56 45 55,+45 88 56 45 56,9
471,Campingvarehuset,Silkeborgsvej 214,,Randers,,18,+45 91 50 30 00,+45 91 50 30 01,2
472,Media Center A/S,Nytorvet 1,,Odense,,18,+45 63 51 33 00,+45 63 51 33 10,6
473,Storkøb,Randersvej 34,,Silkeborg,,18,+45 77 54 67 00,+45 77 54 64 14,8
474,Hartvigsens,Dronningens Allé 23,,Give,,18,+45 56 45 34 21,+45 56 45 34 21,5
475,Martin's Golf,Transformervej 14,,Aalborg,,18,+45 95 78 33 64,+45 95 64 78 08,3
476,København Storecenter,Vibevej 23,,Aabenraa,,18,+45 69 90 34 90,+45 69 90 34 10,8
477,Tavaratalo Mattas Oy,Sarankulmankatu 20,,Kemi,,22,+358(0)16 - 530 5618,+358(0)16 - 530 5500,5
478,Sihvolan Postmyynti,Indolantie 16,,Kuopio,,22,+358(0)17 - 433 099,+358(0)17 - 433 100,6
479,Silmäasema Karell Oy,Lokomonkatu 3,,Pori,,22,+358(0)2 - 607 779,+358(0)2 - 607 780,10
480,Golfmaailma HL,Kruunuvuorenkatu 4,,Lieksa,,22,+358(0)13 - 618 411,+358(0)13 - 618 530,3
481,Arjan Aitta,Yrittäjänkatu 21,,Tampere,,22,+358(0)3 - 617 142,+358(0)3 - 617 143,2
482,Töölön Urheilu ja Pyörä,Vetokuja 4,,Kajaani,,22,+358(0)8 - 8165 7955,+358(0)8 - 8165 8000,12
483,Urheilu Sihvola,Meritullinkatu 13,,Parainen,,22,+358(0)2 - 228 881,+358(0)2 - 228 890,11
484,Rantalan Tukku,Kristianinkatu 2,,Salo,,22,+358(0)2 - 15 0497,+358(0)2 - 15 0500,8
485,NonSoloNeve,Corso XXII Marzo 69,,Bologna,,6,+(39) 051 28 70 518,+(39) 051 28 92 422,11
486,Paradiso della Tenda,Via Industriale 76,,Torino,,6,+(39) 011 89 34 113,+(39) 011 89 32 239,2
487,Gli Sportivi,Via Legnano 150,,Bergamo,,6,+(39) 035 65 35 960,+(39) 035 65 35 961,9
488,Mari&Monti,Via Antica 23,,Firenze,,6,+(39) 055 88 23 456,+(39) 055 88 23 455,10
489,Tre Valli,Via Archimede 7,,Genova,,6,+(39) 010 85 99 635,+(39) 010 54 66 325,8
490,AcquaVerde,Corso Sempione 121,,Milano,,6,+(39) 024 89 50 50,+(39) 024 89 50 70,1
491,Rossi Accessori,Via Settala 28,,Napoli,,6,+(39) 081 68 38 998,+(39) 081 68 43 806,6
492,Le Vele,Via Torino 20,,Roma,,6,+(39) 068 02 66 66,+(39) 068 02 67 71,4
493,Giorgi,Via Battisti 34,,Roma,,6,+(39) 066 69 65 86,+(39) 066 35 57 73,3
494,Centro dello Sportivo,Via Gonzaga 21,,Torino,,6,+(39) 011 89 31 139,+(39) 011 89 32 239,12
495,La Rondine,Via Teodosio 15,,Venezia,,6,+(39) 041 66 66 802,+(39) 041 66 61 061,5
496,Compagnia dei Viaggiatori,Via Turati 45,,Torino,,6,+(39) 011 45 69 789,+(39) 011 48 96 233,2
497,L' Esploratore,Via Sant Ambrogio 13,,Milano,,6,+(39) 026 06 22 91,+(39) 026 06 11 32,2
498,Hanaro Department,"514-3, Daechi-Dong",Kangnam-Ku,Seoul,,13,82-2-345-8384,82-2-345-8385,4
499,Taeho Sports,"56-3, Namchun-Dong",Suyoung-Ku,Pusan,,13,82-51-32-4566,82-51-32-4567,12
500,Asan Department,"123-3,Shingil-Dong",Youngdeungpo-Ku,Seoul,,13,82-2-713-9569,82-2-713-9570,5
501,Daeung Rental,"12-23, Shinchun-Dong",Songpa-Ku,Seoul,,13,82-2-578-1236,82-2-578-1237,9
502,Hanshin Department,"234-6, Namsan-Dong",Chung-Ku,Taegu,,13,82-2-523-4562,82-2-523-4563,5
503,DongHan company,"16-7, Songnai-Dong",Sosa-Ku,Pucheon,Kyungki-Do,13,82-32-789-4526,82-32-789-4527,7
504,Tongil Sports,"23-9, Hyosung-Dong",Kyeyang-Ku,Incheon,,13,82-32-23-4567,82-32-23-4568,12
505,Hankook Sports,"879-99, Bumil-Dong",Dong-Ku,Pusan,,13,82-51-745-0697,82-51-745-0698,11
506,Kong's Sports,"91-1, Noksan-Dong",Kangs-Ku,Pusan,,13,82-51-336-5421,82-51-336-5422,12
507,Shingu Golf,"30-7, Kuwan-Dong",Chung-Ku,Taejeon,,13,82-42-623-7812,82-42-623-7817,3
508,Samdo Club,"45-1, Sinpyung-Dong",Saha-Ku,Pusan,,13,82-51-36-1245,82-51-36-1246,8
526,Sportworld,Kalfjeslaan 47,,Amstelveen,,7,+31 (0)20 487 61 48,+31 (0)20 450 66 52,4
527,Topforma,Noorderspoorsingel 28,,Groningen,,7,+31 (0)182 30 50 83,+31 (0)182 34 55 21,6
528,SportTotaal,Hogehilweg 13,,Amsterdam,,7,+31 (0)20 692 93 94,+31 (0)20 692 93 06,8
529,Holland Zonzoekers,Westhavenweg 8,,Amsterdam,,7,+31 (0)20 511 57 10,+31 (0)20 511 57 11,3
530,Beter Buitenleven,Havenbuurt 12,,Marken,,7,+31(0)299 343 61 45,+31(0)299 34397 41,2
531,Extra Sport,Stadhouderslaan 18,,Rotterdam,,7,+31 (0)10 727 65 01,+31 (0)10 727 65 02,11
532,Sport Gezond,Bilderdijkstraat 33,,Steenwijk,,7,+31 (0)52 103 72 45,+31 (0)52 103 72 87,5
533,Van Out Bv.,Oosterstraat 5,,Schagen,,7,+31 (0)22 406 54 30,+31 (0)22 409 93 11,10
534,Anywhere Everywhere,Van IJsendijkstraat 190,,Purmerend,,7,+31 (0)29 902 03 30,+31 (0)29 906 02 69,10
535,Het Fitte Gevoel,Kneppelhoutweg 8,,Oosterbeek,,7,+31(0)26 851 83 12,+31(0)26 851 55 69,3
536,Cornelius' buitensport,"Abdijcomplex, toren 1",,Middelburg,,7,+31 (0)118 04 24 24,+31 (0)118 04 46 60,2
537,Klimmeester,Oude Maasstraat 90,,Maastricht,,7,+31(0)43 773 14 77,+31(0)43 773 22 81,2
538,Fred's Sportpaleis,De Grutto 25,,Dedemsvaart,,7,+31 (0)52 301 23 00,+31 (0)52 301 26 50,8
539,Eurobal,Gebouw De Coener,,Amsterdam,,7,+31 (0)20 618 19 18,+31 (0)20 683 99 46,12
540,Kampeer Top Shop,De Kwartel 6,,Dronten,,7,+31 (0)32 106 59 92,+31 (0)32 106 02 33,1
541,Klimgek Bv.,p/a De Grote Club,,Amsterdam,,7,+31 (0)20 564 12 02,+31 (0)20 564 19 99,1
542,Aarde Rond Bv.,Van Goghstraat 10,,St-Maartensvlotbrug,,7,+31(0)224 561 97 46,+31(0)224 561 86 35,9
543,Naranco de Bulnes,"Atlántico, 56",,Barcelona,Barcelona,19,+35 93 241 7846,+35 93 356 3444,2
544,Picos,"Paseo Marítimo, 78",,Barcelona,Barcelona,19,+35 93 721 3289,+35 93 721 3288,5
545,Valle Luz,"Ondarreta, 84",,Bilbao,Vizcaya,19,+35 94 658 1244,+35 94 345 6070,5
546,Candanchú,"Marqués de San Esteban, 4",,Gijón,Asturias,19,+35 98 516 7399,+35 98 516 7398,2
547,Golf España,"Huesca, 88",Bajo,Logroño,La Rioja,19,+35 94 159 5488,+35 94 166 6633,3
548,Ocio y Aventura,"Carrera de Oriente, 58-5",,Madrid,Madrid,19,+35 91 222 5578,+35 91 222 5645,4
549,Alpino,Edifico Mantilla,"Herrerías, 56-7",Madrid,Madrid,19,+35 91 465 4128,+35 91 714 7361,2
550,Supremas Montañas,"Avenida Reunión, 230",,Zaragoza,Zaragoza,19,+35 97 633 6802,+35 97 645 9031,2
551,Crèmes solaires,"99, rue des Laitiers",,Lausanne,,8,+(41) 21 36 50 11,+(41) 21 41 49 11,2
552,Contacts maisons,"78, rue Guillaume Tel",,Genève,,8,+(41) 22 36 25 14,+(41) 22 45 78 02,7
553,Construction Montagne,"45, route de Fribourg",,Genève,,8,+(41) 22 73 14 77,+(41) 22 73 14 65,8
554,RosaCamping,Viale dei Quattro Venti 57,,Locarno,,8,+(41) 93 14 78 32,+(41) 93 14 59 73,2
555,Optikhaus,Riedstraße 21,,Dietikon,,8,+(41) 16 55 38 38,+(41) 16 55 38 37,10
556,Bergsteiger-Glück,Beundenstraße 26,,Wangen,,8,+(41) 65 82 31 42,+(41) 65 82 31 40,4
557,Windsurfing Zürichsee,Kirchstraße 66,,Zürich,,8,+(41) 12 52 31 54,+(41) 12 52 31 55,12
558,La Slitta,Via Lago 51,,Lugano,,8,+(41) 91 67 43 94,+(41) 91 69 61 20,5
559,Cordages Divers,"7, place de l'Hôtel de Ville",,Lausanne,,8,+(41) 21 15 40 72,+(41) 21 65 70 30,2
560,Topsport,Lerzenstraße 24,,Burgdorf,,8,+(41) 42 71 11 00,+(41) 42 71 11 10,12
561,Arnold's Clubs,"89, route d'Evian",,Genève,,8,+(41) 22 36 22 40,+(41) 22 45 10 58,3
562,Escalades voyages,"97, route des Organisations",,Genève,,8,+(41) 22 85 21 47,+(41) 22 47 15 03,6
563,Divers Montagne,"8, rue des Écoles",,Fribourg,,8,+(41) 26 12 04 63,+(41) 26 47 15 30,5
564,Camping douceur,"7, route de l'Italie",,Fribourg,,8,+(41) 26 24 00 58,+(41) 26 50 10 23,2
565,Haus der Tramper,Strehlgasse 6,,Engelburg,,8,+(41) 71 27 67 60,+(41) 71 27 67 65,5
566,Supertramp,Flughafenstraße 1,,Basel,,8,+(41) 61 43 53 53,+(41) 61 43 53 53,8
567,Alpin Sport,Florhofstraße 7,,Aargau,,8,+(41) 64 21 11 02,+(41) 64 21 11 05,1
568,Gregoretti Sport,Via Ponti 7,,Luino,,8,+(41) 03 32 68 31,+(41) 03 32 68 31,6
569,Tentes et cordages,"56, avenue du bon sens",,Fribourg,,8,+(41) 26 36 15 34,+(41) 26 22 80 98,1
570,Golf Haus,Bachtelstraße 43,,Aarau,,8,+(41) 64 27 97 97,+(41) 64 27 97 98,3
571,Camp 34,Bahnhofstraße 8,,Gümligen,,8,+(41) 31 94 15 50,+(41) 31 94 15 51,2
572,Mondo Neve,Via Brezza 12,,Luino,,8,+(41) 03 89 47 15,+(41) 03 89 10 44,9
573,Hai Wan Shin Sport Equipment Co.,"100-1, Gin-Ping Road",,Choung Ho,Taipei,12,886-2-2940-4433,886-2-2994-1219,3
574,World-Wild Sport Equipment Co.,"392, Chian Shin Street",,Shin Chuang,Taipei,12,886-2-2277-1450,886-2-2277-1253,3
575,"Chen Yu Enterprise Co.,","75, Choung Yi Road",,Tu Cherng,Taipei,12,886-2-2269-3143,886-2-2269-3047,5
576,Gin May Enterprises Co.,"24, San Long Street",,Su Lin,Taipei,12,886-2-2988-5060,886-2-2988-5070,3
577,Yuan Li Enterprises Co.,"93, Yuan-Tuan Road",,Choung Ho,Taipei,12,886-2-2249-6896,886-2-2247-7902,8
578,Hong Wai Enterprises Co.,"188, Choun San Road",,Keelung,,12,886-2-2432-5119,886-2-2433-0517,9
579,Chuan Yang Sport Equipment Co.,"635, Hwa-Chen Road",,Shin Chuang,Taipei,12,886-2-2594-3131,886-2-2596-5686,3
580,Fu Chin Sport Equipment Co.,"19, Wu Chiuan 2 Road",,Wu Gu Industrial Zone,Taipei,12,886-2-2298-8581,886-2-2298-8591,7
581,Moun Tin Huan Health & Sport Equipment Co.,"11, Kuo 6 Road",,Lin Ko,Taipei,12,886-2-2603-3101,886-2-2603-3102,7
582,Extensive Enterprises Co.,"266, Wen-Hwao Road",Section 1,Ban Chiao,Taipei,12,886-2-2254-0951,886-2-2254-0692,3
583,James Enterprise Co.,"514, Choung-Cheng Road",,Chung Lie,,12,886-3-428-2167,886-3-428-2168,4
584,"Chen Ze May Enterprises Co., Ltd.","100, Gin-Ping Road",,Choung Ho,Taipei,12,886-2-2957-1901,886-2-2957-1902,8
585,Jensen Mountaineering,139 Page Street,,London,,9,+(44) 171 7327474,+(44) 171 3871873,2
586,Leisure Land,Kelvin House,Talisman Road,Birmingham,West Midlands,9,+(44) 121 4764682,+(44) 121 3607074,5
587,Hurst Ironmongers,The Beeches,14 Church Street,Bristol,Avon,9,+(44) 117 9350365,+(44) 117 9755453,3
588,Percy's Irons,14 Bath Road,,London,,9,+(44) 171 3513909,+(44) 171 9874611,3
589,Outdoor Experience,Seaton House,3 Aberford Road,Reading,Berkshire,9,+(44) 118 9666225,+(44) 118 9426551,1
590,Baxters Pro Shop,10 Boundary Way,,London,,9,+(44) 171 2533960,+(44) 171 3527907,3
591,Breathe Free ltd,11 High Street,,London,,9,+(44) 181 5422873,+(44) 181 5528210,6
592,Brown's Opticians,11 Staine Road,,Reading,Berkshire,9,+(44) 118 9411833,+(44) 118 9482574,10
593,Campland Limited,12 York Place,,Reading,Berkshire,9,+(44) 118 9574365,+(44) 118 9844255,2
594,Country Esquire,16 Crown Hill,,Milton Keynes,Buckinghamshire,9,+(44) 1908 313441,+(44) 1908 644542,1
595,Edge Mountainwear,20 Booth Lane,,Oxford,Oxfordshire,9,+(44) 1865 768377,+(44) 1865 717492,2
596,FreshCo,25 Long Road,,Oxford,Oxfordshire,9,+(44) 1865 773657,+(44) 1865 249716,5
597,Berkshire Traders,26 Willoughby Road,,Reading,Berkshire,9,+(44) 118 9341064,+(44) 118 9451650,5
598,Outdoor World,28 Pottergate,,Milton Keynes,Buckinghamshire,9,+(44) 1908 695906,+(44) 1908 673640,2
599,Seamate Chandlers,44 Great Victoria Street,,Birmingham,West Midlands,9,+(44) 121 4770471,+(44) 121 3567959,4
600,Smith's Chemists,33 Elm Street,,Telford,Shropshire,9,,,8
601,Sportlife,421 North Road,,Luton,Bedfordshire,9,+(44) 1582 881202,+(44) 1582 881200,12
602,Starsight Limited,49 Victoria Road,,Oxford,Oxfordshire,9,+(44) 1865 766750,+(44) 1844 338379,7
603,The Cutting Edge,9 Heath Lane,,Bristol,Avon,9,+(44) 117 9773881,+(44) 117 9676716,6
604,Tee Time Limited,95 Great Clarendon Street,,Oxford,Oxfordshire,9,+(44) 1865 748194,+(44) 1865 243716,3
605,The Golf Boutique,Booth House,Ingrave Road,London,,9,+(44) 171 4746516,+(44) 171 6090443,3
606,Total Sports,Caradog House,St Andrews Place,Brighton,Sussex,9,+(44) 1273 682390,+(44) 1273 325175,12
608,Visual Experience,Craven House,16 St Andrew Square,London,,9,+(44) 181 6700394,+(44) 181 5210370,2
609,The Village Chemist,Gade House,Waterside Drive,Bristol,Avon,9,+(44) 117 9690362,+(44) 117 9685009,8
610,Franklins',Isis House,London Road,Reading,Berkshire,9,+(44) 118 9473635,+(44) 118 9482504,5
611,Focus Eyewear,Melton House,Chainbridge Road,Nottingham,Nottinghamshire,9,+(44) 115 9278250,+(44) 115 9634481,10
612,RR:s Stormarknad,Hammarvägen 11,,Helsingborg,,10,+(46) 042 547 080,+(46) 042 540 685,5
613,Jakt och Fritid AB,Ängsgatan 45,,Stockholm,,10,+(46) 085 231 241,+(46) 085 231 905,5
614,Klättringsexperten AB,Daggkåpevägen 68,,Lidingö,,10,+(46) 081 966 302,+(46) 081 996 306,7
615,Cykelcentrum,Fredsgatan 76,,Malmö,,10,+(46) 040 936 555,+(46) 040 936 550,12
616,Sport Jonas,Apoteksgatan 2,,Bollnäs,,10,+(46) 278 478 322,+(42) 278 478 323,11
617,Fritidscenter,Ekebyvägen 79,,Norrtälje,,10,+(46) 176 529 205,+(46) 176 515 078,9
618,Skog & Mark AB,Bultgatan 56,,Nynäshamn,,10,+(46) 084 474 142,+(46) 084 472 456,10
619,Golf Butiken,Fridhemsgatan 44,,Örebro,,10,+(46) 018 558 975,+(46) 018 557 863,3
620,Hole in One AB,Göthammars väg 2,,Stenungsund,,10,+(46) 303 879 234,+(46) 303 879 222,3
621,REX Klätterutrustning AB,Finlandsgatan 20,,Stockholm,,10,+(46) 086 926 984,+(46) 086 928 867,8
622,Allt för camping AB,Dimgatan 4,,Umeå,,10,+(46) 090 765 020,+(46) 090 965 022,1
623,Aqua Sport,Gärdesgatan 34,,Köping,,10,+(46) 221 450 144,+(46) 221 450 140,12
624,Sport Experten AB,Skolvägen 18,,Åkersberga,,10,+(46) 085 406 292,+(46) 085 768 978,12
625,Campingspecialisten,Eliassons väg 3,,Åtvidaberg,,10,+(46) 120 856 779,+(46) 120 856 700,2
626,Toppform AB,Jaktstigen 56,,Nässjö,,10,+(46) 380 789 595,+(46) 380 789 590,8
627,Stinas Campingutrustning,Furustigen 22,,Piteå,,10,+(46) 911 799 689,+(46) 911 799 699,2
